epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8191,4.2757,10.371,3.46327,0.18558,0.11799,0.0279,0.01541,3.0011,7.72563,2.58334,6.672e-05,6.672e-05,6.672e-05
2,60.1852,2.80405,6.36468,2.48114,0.13172,0.38267,0.10795,0.06498,2.82072,11.0045,2.57348,0.000134871,0.000134871,0.000134871
3,72.2621,2.71728,4.87622,2.42794,0.17643,0.53411,0.22426,0.14143,2.51701,5.03493,2.45478,0.000201647,0.000201647,0.000201647
4,84.2981,2.61641,4.24694,2.36984,0.31805,0.49411,0.30933,0.19885,2.36826,3.49386,2.43878,0.000267046,0.000267046,0.000267046
5,96.3218,2.56314,3.81756,2.32024,0.30785,0.52283,0.344,0.22559,2.38462,3.2277,2.4448,0.000266991,0.000266991,0.000266991
6,108.188,2.54435,3.58194,2.34326,0.32709,0.56499,0.38314,0.24679,2.41941,3.02122,2.48216,0.000264239,0.000264239,0.000264239
7,119.388,2.55136,3.41915,2.33927,0.35886,0.63255,0.41076,0.26421,2.43391,2.83571,2.46485,0.000261487,0.000261487,0.000261487
8,131.413,2.49885,3.2354,2.33145,0.39643,0.68247,0.46216,0.31084,2.26401,2.69292,2.39106,0.000258735,0.000258735,0.000258735
9,143.604,2.43955,3.10977,2.28481,0.4038,0.68026,0.46057,0.30085,2.40386,2.63995,2.41767,0.000255982,0.000255982,0.000255982
10,155.599,2.44237,2.99262,2.30325,0.41966,0.69675,0.47763,0.31602,2.30058,2.51879,2.36835,0.00025323,0.00025323,0.00025323
11,168.017,2.45325,2.94821,2.30666,0.42825,0.70224,0.50303,0.33092,2.28447,2.44467,2.39565,0.000250478,0.000250478,0.000250478
12,180.085,2.40144,2.84862,2.27135,0.41499,0.75396,0.49556,0.32378,2.35725,2.45664,2.42725,0.000247726,0.000247726,0.000247726
13,191.633,2.39007,2.76943,2.27812,0.43784,0.70705,0.50989,0.33837,2.30319,2.39393,2.39249,0.000244974,0.000244974,0.000244974
14,203.651,2.39041,2.71925,2.27912,0.47748,0.77388,0.57183,0.381,2.20842,2.21292,2.34438,0.000242221,0.000242221,0.000242221
15,215.833,2.38072,2.68787,2.25675,0.4482,0.73848,0.51964,0.34228,2.3078,2.39922,2.41661,0.000239469,0.000239469,0.000239469
