epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.875,1.1929,1.46606,1.16792,0.49652,0.79905,0.66789,0.4433,1.12746,1.18514,1.19558,6.672e-05,6.672e-05,6.672e-05
2,52.9145,1.13925,1.36928,1.14,0.47046,0.84047,0.62784,0.40193,1.15755,1.20192,1.19854,0.000134871,0.000134871,0.000134871
3,76.951,1.15185,1.33999,1.14549,0.49093,0.82053,0.66932,0.43191,1.1643,1.18772,1.21546,0.000201647,0.000201647,0.000201647
4,100.445,1.17121,1.32055,1.15379,0.49073,0.85969,0.60118,0.39206,1.1102,1.16175,1.20763,0.000267046,0.000267046,0.000267046
5,124.043,1.15576,1.26837,1.1395,0.44565,0.88252,0.52707,0.34508,1.11324,1.25216,1.20509,0.000266991,0.000266991,0.000266991
6,147.999,1.13547,1.24587,1.14781,0.43982,0.86153,0.55219,0.36892,1.11365,1.22353,1.20114,0.000264239,0.000264239,0.000264239
7,171.879,1.13665,1.21239,1.14625,0.48612,0.86938,0.59444,0.39351,1.10146,1.13589,1.19755,0.000261487,0.000261487,0.000261487
8,196.512,1.11672,1.166,1.14348,0.5934,0.8532,0.76564,0.51632,1.09938,1.02938,1.20572,0.000258735,0.000258735,0.000258735
9,226.906,1.09609,1.15109,1.12443,0.54084,0.836,0.69612,0.45403,1.1817,1.17457,1.21967,0.000255982,0.000255982,0.000255982
10,251.273,1.10698,1.09611,1.12966,0.45845,0.84336,0.58618,0.38835,1.12835,1.1969,1.21431,0.00025323,0.00025323,0.00025323
11,275.543,1.10242,1.06909,1.13617,0.4734,0.76219,0.55909,0.36688,1.15378,1.31985,1.2164,0.000250478,0.000250478,0.000250478
12,299.065,1.07547,1.02992,1.12323,0.62718,0.78092,0.75697,0.51021,1.11217,1.05455,1.20003,0.000247726,0.000247726,0.000247726
13,322.85,1.06945,0.92491,1.12191,0.55627,0.80017,0.68892,0.45491,1.14505,1.18827,1.21061,0.000244974,0.000244974,0.000244974
14,346.595,1.08619,0.93259,1.12852,0.76072,0.83496,0.86607,0.58362,1.10158,0.80854,1.19016,0.000242221,0.000242221,0.000242221
15,370.563,1.07067,0.88479,1.1136,0.75355,0.81805,0.84967,0.58231,1.09385,0.82978,1.18158,0.000239469,0.000239469,0.000239469
16,394.378,1.04751,0.84708,1.10657,0.68229,0.71166,0.76302,0.51265,1.07966,1.13591,1.19489,0.000236717,0.000236717,0.000236717
17,417.941,1.08152,0.86425,1.12124,0.60393,0.75118,0.71184,0.4822,1.10297,1.05551,1.18625,0.000233965,0.000233965,0.000233965
18,441.483,1.0771,0.80197,1.10194,0.66541,0.78151,0.77259,0.51589,1.10329,1.01808,1.19098,0.000231213,0.000231213,0.000231213
19,465.007,1.05042,0.74848,1.11418,0.76934,0.87337,0.8754,0.59882,1.05891,0.77189,1.1809,0.00022846,0.00022846,0.00022846
20,489.032,1.06282,0.76213,1.12104,0.70248,0.80927,0.82072,0.55598,1.09971,0.89394,1.2009,0.000225708,0.000225708,0.000225708
21,512.525,1.03165,0.77302,1.09966,0.73016,0.81898,0.84645,0.58224,1.07077,0.88307,1.19151,0.000222956,0.000222956,0.000222956
22,535.975,1.03648,0.72363,1.10521,0.73482,0.81374,0.82254,0.56907,1.06775,0.87671,1.18074,0.000220204,0.000220204,0.000220204
23,559.107,1.01427,0.69359,1.09583,0.75128,0.82793,0.83344,0.57889,1.0312,0.84176,1.17786,0.000217452,0.000217452,0.000217452
24,582.794,1.03041,0.68462,1.09987,0.88575,0.90899,0.93521,0.6368,1.07494,0.65078,1.19329,0.000214699,0.000214699,0.000214699
25,606.913,1.01114,0.67198,1.0882,0.74686,0.83475,0.84076,0.57873,1.07954,0.8156,1.19388,0.000211947,0.000211947,0.000211947
26,630.267,1.02848,0.71018,1.1016,0.8313,0.87562,0.91474,0.61535,1.09744,0.69434,1.20569,0.000209195,0.000209195,0.000209195
27,653.672,1.02376,0.68924,1.10164,0.68144,0.77016,0.7504,0.51769,1.07137,0.97198,1.19656,0.000206443,0.000206443,0.000206443
28,677.576,1.00192,0.65539,1.08298,0.64205,0.76389,0.7447,0.52154,1.05517,1.06391,1.18017,0.000203691,0.000203691,0.000203691
29,700.863,0.99845,0.65497,1.07125,0.81637,0.85978,0.89659,0.6264,1.0374,0.76507,1.16776,0.000200938,0.000200938,0.000200938
30,724.242,0.99941,0.63785,1.08841,0.882,0.87899,0.93449,0.64028,1.07223,0.65285,1.19559,0.000198186,0.000198186,0.000198186
31,748.36,0.98056,0.63534,1.06528,0.80789,0.84046,0.85836,0.59471,1.05776,0.7809,1.17662,0.000195434,0.000195434,0.000195434
32,771.739,0.93838,0.57581,1.06473,0.81744,0.86241,0.89545,0.62006,1.04578,0.72155,1.17943,0.000192682,0.000192682,0.000192682
33,799.545,0.97446,0.59804,1.07476,0.87506,0.85137,0.9201,0.64785,1.02995,0.64165,1.16267,0.00018993,0.00018993,0.00018993
34,828.486,0.94774,0.57707,1.06322,0.77927,0.82423,0.85389,0.60798,1.02659,0.77688,1.16151,0.000187177,0.000187177,0.000187177
35,852.585,0.99762,0.63631,1.08812,0.87347,0.89185,0.925,0.64322,1.04078,0.6516,1.18334,0.000184425,0.000184425,0.000184425
36,876.246,0.94944,0.56494,1.05918,0.91315,0.93132,0.95002,0.66656,1.03535,0.56419,1.18971,0.000181673,0.000181673,0.000181673
37,904.743,0.95754,0.59054,1.06997,0.89946,0.92348,0.93969,0.65582,1.02659,0.6057,1.17736,0.000178921,0.000178921,0.000178921
38,929.866,0.93133,0.55484,1.05024,0.73559,0.79729,0.81977,0.58592,1.04117,0.84988,1.19201,0.000176169,0.000176169,0.000176169
39,954.827,0.92868,0.55976,1.05484,0.89283,0.92112,0.92468,0.64817,1.03646,0.61465,1.19302,0.000173416,0.000173416,0.000173416
40,979.085,0.93731,0.55504,1.05631,0.87576,0.88896,0.9198,0.64155,1.03856,0.65875,1.20385,0.000170664,0.000170664,0.000170664
41,1005.37,0.93966,0.54324,1.05498,0.72435,0.77136,0.78969,0.57413,1.00566,0.97457,1.16882,0.000167912,0.000167912,0.000167912
42,1029.16,0.9312,0.54791,1.05248,0.88535,0.90396,0.92936,0.65756,1.05322,0.61906,1.19144,0.00016516,0.00016516,0.00016516
43,1052.66,0.92932,0.54713,1.05379,0.86167,0.88224,0.90525,0.64128,1.03565,0.66949,1.18523,0.000162408,0.000162408,0.000162408
44,1076.43,0.90895,0.512,1.04019,0.89019,0.90227,0.92898,0.65694,1.02764,0.62019,1.17788,0.000159655,0.000159655,0.000159655
45,1100.05,0.89456,0.49868,1.02866,0.89507,0.92162,0.93055,0.66101,1.02658,0.61206,1.19377,0.000156903,0.000156903,0.000156903
46,1123.92,0.89988,0.50452,1.03303,0.91383,0.89678,0.94163,0.67174,1.00639,0.59828,1.17982,0.000154151,0.000154151,0.000154151
47,1158.59,0.87432,0.4941,1.02125,0.80478,0.84543,0.87534,0.62492,1.02284,0.78209,1.17216,0.000151399,0.000151399,0.000151399
48,1186.96,0.88787,0.50738,1.03439,0.87191,0.86969,0.91627,0.65787,1.0024,0.64831,1.16645,0.000148647,0.000148647,0.000148647
49,1215.78,0.89862,0.51112,1.03307,0.90809,0.92197,0.94762,0.67076,1.02189,0.57454,1.18823,0.000145894,0.000145894,0.000145894
50,1239.69,0.8744,0.51416,1.02438,0.84406,0.88256,0.89078,0.63209,1.03461,0.68832,1.17965,0.000143142,0.000143142,0.000143142
51,1268.53,0.86436,0.50066,1.02966,0.90821,0.92459,0.94987,0.67666,1.00899,0.55934,1.17194,0.00014039,0.00014039,0.00014039
52,1298.07,0.85332,0.4918,1.01869,0.88395,0.89834,0.9117,0.65886,0.98083,0.63117,1.16438,0.000137638,0.000137638,0.000137638
53,1327.26,0.82951,0.464,1.00026,0.92345,0.92684,0.94837,0.68041,1.01036,0.56576,1.18378,0.000134886,0.000134886,0.000134886
54,1363.42,0.86954,0.4878,1.01861,0.88131,0.88008,0.90175,0.6417,1.00091,0.67078,1.18447,0.000132133,0.000132133,0.000132133
55,1387.89,0.8364,0.46496,1.0099,0.90529,0.91962,0.93238,0.67012,0.99255,0.58112,1.16508,0.000129381,0.000129381,0.000129381
56,1416.62,0.85927,0.47398,1.01649,0.90592,0.92625,0.94368,0.6806,0.9904,0.55517,1.15801,0.000126629,0.000126629,0.000126629
57,1445.2,0.82391,0.45723,1.00106,0.87738,0.90174,0.91474,0.66034,0.9884,0.63899,1.16191,0.000123877,0.000123877,0.000123877
58,1469.3,0.83808,0.45953,1.01023,0.86861,0.90306,0.91542,0.65845,1.01364,0.64774,1.17397,0.000121125,0.000121125,0.000121125
59,1492.65,0.84856,0.46847,1.00954,0.89436,0.92666,0.93767,0.67667,0.99201,0.56696,1.16396,0.000118372,0.000118372,0.000118372
60,1521.46,0.8287,0.44293,1.00245,0.898,0.9158,0.92672,0.67412,0.97012,0.59022,1.16164,0.00011562,0.00011562,0.00011562
61,1550.47,0.80854,0.43272,0.98805,0.90485,0.9064,0.92428,0.66873,0.97408,0.60314,1.1592,0.000112868,0.000112868,0.000112868
62,1580.23,0.80716,0.44306,0.9974,0.90114,0.89179,0.91358,0.66135,0.98635,0.62484,1.17982,0.000110116,0.000110116,0.000110116
63,1609.06,0.80287,0.43258,0.98806,0.88699,0.90216,0.91051,0.66146,0.98871,0.63929,1.16431,0.000107364,0.000107364,0.000107364
64,1638.22,0.80073,0.43091,0.98452,0.90746,0.91172,0.93299,0.68084,0.98172,0.59904,1.16733,0.000104611,0.000104611,0.000104611
65,1666.91,0.79125,0.419,0.98349,0.89538,0.91385,0.92973,0.66926,0.99504,0.59623,1.17633,0.000101859,0.000101859,0.000101859
66,1695.47,0.75648,0.41623,0.97947,0.89005,0.90859,0.92418,0.67944,0.96212,0.60363,1.17744,9.9107e-05,9.9107e-05,9.9107e-05
67,1723.66,0.79247,0.41788,0.9907,0.8799,0.9044,0.92299,0.6698,0.98022,0.62018,1.17113,9.63548e-05,9.63548e-05,9.63548e-05
68,1753.01,0.78658,0.43564,0.97766,0.86676,0.8953,0.92029,0.68391,0.95401,0.62523,1.15334,9.36026e-05,9.36026e-05,9.36026e-05
69,1789.66,0.77314,0.42035,0.98671,0.87633,0.9133,0.92644,0.67259,0.99626,0.59468,1.17357,9.08504e-05,9.08504e-05,9.08504e-05
70,1818.64,0.78492,0.41489,0.97861,0.891,0.90259,0.91061,0.65783,0.99512,0.6266,1.17596,8.80982e-05,8.80982e-05,8.80982e-05
71,1846.97,0.76703,0.42054,0.97788,0.88783,0.90876,0.92535,0.67701,0.96974,0.60708,1.17487,8.5346e-05,8.5346e-05,8.5346e-05
72,1871.06,0.76344,0.41883,0.97649,0.86904,0.89957,0.91257,0.67497,0.95562,0.64239,1.15843,8.25938e-05,8.25938e-05,8.25938e-05
73,1899.69,0.78283,0.41373,0.98338,0.90465,0.92574,0.93692,0.69217,0.95808,0.56077,1.15873,7.98416e-05,7.98416e-05,7.98416e-05
74,1935.41,0.77414,0.40329,0.97299,0.90466,0.92823,0.93456,0.69413,0.95642,0.56219,1.16026,7.70894e-05,7.70894e-05,7.70894e-05
75,1965.45,0.75142,0.40562,0.96702,0.9062,0.91362,0.92681,0.68836,0.96107,0.58338,1.16148,7.43372e-05,7.43372e-05,7.43372e-05
76,1994.42,0.73834,0.39368,0.97187,0.88675,0.92138,0.93214,0.68161,0.97992,0.58239,1.18594,7.1585e-05,7.1585e-05,7.1585e-05
77,2018.1,0.74165,0.3963,0.97397,0.89028,0.9018,0.92208,0.68308,0.96117,0.62657,1.17494,6.88328e-05,6.88328e-05,6.88328e-05
78,2046.75,0.73182,0.38144,0.95875,0.89755,0.89873,0.92863,0.6825,0.97822,0.59903,1.17723,6.60806e-05,6.60806e-05,6.60806e-05
79,2075.96,0.74476,0.38999,0.96346,0.90936,0.91956,0.94033,0.69811,0.95297,0.54701,1.16674,6.33284e-05,6.33284e-05,6.33284e-05
80,2105.93,0.7405,0.39087,0.95871,0.90919,0.91536,0.93208,0.6871,0.96305,0.556,1.18724,6.05762e-05,6.05762e-05,6.05762e-05
81,2135.09,0.73375,0.38937,0.9595,0.89995,0.89074,0.91807,0.67915,0.9601,0.61004,1.1767,5.7824e-05,5.7824e-05,5.7824e-05
82,2164.3,0.70796,0.37275,0.95167,0.89791,0.90004,0.92141,0.68171,0.96521,0.60676,1.16556,5.50718e-05,5.50718e-05,5.50718e-05
83,2193.05,0.73472,0.38052,0.9618,0.89552,0.90396,0.92019,0.68646,0.94599,0.59936,1.16232,5.23196e-05,5.23196e-05,5.23196e-05
84,2222.05,0.70891,0.38286,0.94936,0.89458,0.90804,0.92163,0.69172,0.94034,0.5808,1.16951,4.95674e-05,4.95674e-05,4.95674e-05
85,2250.76,0.704,0.36786,0.95316,0.90061,0.91985,0.93348,0.69247,0.95599,0.55953,1.17973,4.68152e-05,4.68152e-05,4.68152e-05
86,2279.85,0.74346,0.39908,0.96075,0.90331,0.90904,0.92863,0.69665,0.93315,0.57804,1.16266,4.4063e-05,4.4063e-05,4.4063e-05
87,2309.15,0.69108,0.36709,0.94621,0.89592,0.91055,0.92702,0.69301,0.93598,0.58399,1.1712,4.13108e-05,4.13108e-05,4.13108e-05
88,2332.8,0.70064,0.35884,0.94088,0.91162,0.90924,0.9333,0.69683,0.93195,0.56395,1.17213,3.85586e-05,3.85586e-05,3.85586e-05
89,2356.37,0.70467,0.36766,0.94983,0.90787,0.92295,0.93459,0.69224,0.95007,0.56956,1.17441,3.58064e-05,3.58064e-05,3.58064e-05
