epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9938,2.26732,4.51405,1.95052,0.12472,0.4661,0.09377,0.04159,2.03749,inf,1.50874,6.672e-05,6.672e-05,6.672e-05
2,53.5769,1.7811,2.68485,1.44364,0.19581,0.52159,0.2004,0.12008,1.50071,7.33317,1.29977,0.000135321,0.000135321,0.000135321
3,88.4139,1.67505,2.30249,1.40515,0.24666,0.64154,0.30772,0.12716,2.07213,2.90659,1.61994,0.000203004,0.000203004,0.000203004
4,116.793,1.64677,2.14752,1.39366,0.23643,0.6485,0.32425,0.17533,1.56512,2.28433,1.42027,0.000269771,0.000269771,0.000269771
5,150.613,1.59169,2.08278,1.38596,0.24014,0.66747,0.30918,0.15186,1.68856,2.19925,1.41248,0.000270661,0.000270661,0.000270661
6,178.748,1.57878,1.99659,1.386,0.31648,0.70322,0.39607,0.21416,1.4969,1.72273,1.36984,0.000268826,0.000268826,0.000268826
7,208.08,1.54383,1.86042,1.36435,0.29961,0.6439,0.39987,0.24036,1.2979,1.78749,1.33484,0.000266991,0.000266991,0.000266991
8,232.982,1.51919,1.791,1.34461,0.42201,0.8015,0.51576,0.27776,1.53409,1.47028,1.37865,0.000265156,0.000265156,0.000265156
9,257.546,1.52844,1.7377,1.34158,0.46564,0.78973,0.58908,0.35926,1.27669,1.39354,1.2764,0.000263322,0.000263322,0.000263322
10,285.622,1.51722,1.71675,1.3401,0.4664,0.81806,0.59207,0.32132,1.48162,1.37247,1.35614,0.000261487,0.000261487,0.000261487
11,310.242,1.51577,1.72071,1.3285,0.42246,0.81494,0.5177,0.29018,1.41486,1.47174,1.328,0.000259652,0.000259652,0.000259652
12,334.34,1.48259,1.64221,1.31288,0.41214,0.77395,0.49939,0.30015,1.26018,1.44501,1.2831,0.000257817,0.000257817,0.000257817
13,357.924,1.46931,1.59315,1.31172,0.46145,0.82125,0.57131,0.33691,1.37566,1.30468,1.33661,0.000255982,0.000255982,0.000255982
14,387.072,1.47018,1.57611,1.31503,0.45156,0.8459,0.55998,0.31686,1.4351,1.3251,1.33559,0.000254148,0.000254148,0.000254148
15,411.54,1.42708,1.54766,1.3115,0.44557,0.88158,0.52624,0.3216,1.32701,1.28005,1.30134,0.000252313,0.000252313,0.000252313
16,436.035,1.42401,1.53077,1.30558,0.42698,0.84145,0.49752,0.30248,1.31882,1.38545,1.30813,0.000250478,0.000250478,0.000250478
17,460.203,1.44947,1.52879,1.31756,0.4575,0.86327,0.57478,0.34487,1.31728,1.26613,1.31144,0.000248643,0.000248643,0.000248643
18,484.357,1.44244,1.50875,1.3103,0.47623,0.87746,0.59217,0.35349,1.36134,1.22855,1.26489,0.000246808,0.000246808,0.000246808
19,508.381,1.40015,1.46865,1.30514,0.45404,0.86209,0.5345,0.30306,1.40829,1.2838,1.31932,0.000244974,0.000244974,0.000244974
20,532.193,1.43526,1.48346,1.3092,0.45679,0.8708,0.55736,0.30248,1.49008,1.26544,1.33573,0.000243139,0.000243139,0.000243139
21,556.374,1.41785,1.47893,1.29097,0.43478,0.87288,0.49733,0.28757,1.36893,1.31922,1.33243,0.000241304,0.000241304,0.000241304
22,580.446,1.40528,1.45381,1.29534,0.49964,0.85908,0.63659,0.35779,1.46086,1.15275,1.34337,0.000239469,0.000239469,0.000239469
23,616.756,1.39888,1.44263,1.27012,0.47477,0.87588,0.60595,0.3243,1.57338,1.20797,1.37908,0.000237634,0.000237634,0.000237634
24,646.162,1.37564,1.40491,1.26999,0.45797,0.90273,0.53421,0.31146,1.4086,1.23297,1.30185,0.0002358,0.0002358,0.0002358
25,676.311,1.37896,1.40476,1.27648,0.438,0.86298,0.49244,0.30472,1.2761,1.29707,1.24937,0.000233965,0.000233965,0.000233965
26,705.278,1.3805,1.4063,1.28082,0.46912,0.87488,0.55739,0.34614,1.27437,1.17247,1.2803,0.00023213,0.00023213,0.00023213
